textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
100,	   3000,	   27700,	   1700,	   186800,	   1900
200,	   2800,	   22800,	   2700,	   22400,	   2200
300,	   4000,	   27000,	   3600,	   36100,	   2700
400,	   5200,	   24300,	   4700,	   46800,	   3300
500,	   6300,	   24400,	   6000,	   74500,	   3800
600,	   7200,	   24000,	   6700,	   74900,	   4300
700,	   8500,	   29600,	   7800,	   78700,	   5000
800,	   9700,	   28200,	   8800,	   101600,	   5600
900,	   10800,	   29700,	   10000,	   101100,	   6000
1000,	   13900,	   95800,	   14300,	   191500,	   10100
1100,	   21800,	   68700,	   35600,	   315900,	   8500
1200,	   16200,	   34800,	   14800,	   167600,	   8800
1300,	   17400,	   37000,	   16000,	   198800,	   13900
1400,	   28600,	   67400,	   27900,	   252200,	   14600
1500,	   30600,	   79900,	   26900,	   276300,	   11200
1600,	   22200,	   67700,	   19500,	   275600,	   15300
1700,	   33500,	   55400,	   21000,	   234900,	   12200
1800,	   24200,	   37000,	   24200,	   245300,	   13200
1900,	   25900,	   42500,	   23200,	   280800,	   14500
2000,	   28700,	   40400,	   25700,	   364900,	   15700
2100,	   31800,	   51700,	   27700,	   305900,	   15200
2200,	   29400,	   43600,	   27000,	   326200,	   21300
2300,	   47400,	   71200,	   40800,	   469900,	   21600
2400,	   45200,	   65600,	   38100,	   426300,	   22200
2500,	   45500,	   81200,	   44300,	   408500,	   17800
2600,	   34000,	   42000,	   30800,	   344300,	   18100
2700,	   48000,	   45800,	   30700,	   335500,	   18200
2800,	   35400,	   45400,	   32500,	   350700,	   18800
2900,	   36700,	   71900,	   31900,	   360700,	   24600
3000,	   51400,	   79400,	   46300,	   399700,	   28800
3100,	   56200,	   69400,	   52600,	   351000,	   20500
3200,	   44000,	   45400,	   37000,	   351300,	   22200
3300,	   45900,	   49600,	   41400,	   435400,	   23300
3400,	   45900,	   49500,	   55800,	   360200,	   25600
3500,	   48300,	   52000,	   43900,	   438000,	   36700
3600,	   45800,	   48500,	   41600,	   364200,	   23400
3700,	   75700,	   86300,	   54400,	   386000,	   24800
3800,	   48100,	   50100,	   43000,	   446000,	   71700
3900,	   66400,	   51500,	   45100,	   561500,	   68100
4000,	   139400,	   140600,	   130200,	   750200,	   42900
4100,	   88700,	   102100,	   65900,	   545000,	   34500
