textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
100,	   2600,	   44800,	   1600,	   2400,	   1500
200,	   2800,	   27900,	   2500,	   4400,	   2000
300,	   4000,	   25100,	   3600,	   6400,	   2500
400,	   5300,	   22200,	   4600,	   8400,	   3000
500,	   6600,	   24000,	   5900,	   10500,	   3500
600,	   8000,	   23000,	   6900,	   12600,	   4200
700,	   9300,	   27100,	   8100,	   14700,	   4700
800,	   10500,	   32100,	   10400,	   16600,	   5300
900,	   11900,	   40900,	   10400,	   18800,	   6000
1000,	   13200,	   29000,	   11400,	   20800,	   6400
1100,	   14400,	   26400,	   12600,	   22800,	   7100
1200,	   15800,	   27000,	   13700,	   24900,	   7800
1300,	   16900,	   27700,	   14900,	   26900,	   8300
1400,	   18400,	   28600,	   16100,	   29000,	   8700
1500,	   19700,	   30500,	   17200,	   31300,	   14600
1600,	   21100,	   32900,	   18300,	   33300,	   10200
1700,	   22300,	   34900,	   19500,	   35500,	   10800
1800,	   23700,	   34600,	   21800,	   37500,	   11300
1900,	   24900,	   31900,	   21700,	   39700,	   11900
2000,	   26100,	   44800,	   22800,	   41600,	   12300
2100,	   27600,	   38700,	   24000,	   43800,	   13000
2200,	   30200,	   38900,	   26300,	   65300,	   30000
2300,	   67800,	   34700,	   26200,	   48200,	   19900
2400,	   31700,	   38700,	   27500,	   50000,	   15600
2500,	   32900,	   41900,	   28900,	   52300,	   15300
2600,	   34200,	   40100,	   29900,	   54200,	   16300
2700,	   35600,	   42800,	   30900,	   56100,	   16800
2800,	   38200,	   42500,	   33100,	   58700,	   17000
2900,	   39300,	   44600,	   34400,	   60500,	   17800
3000,	   39400,	   40200,	   34400,	   62400,	   18200
3100,	   40500,	   46900,	   39000,	   64500,	   18900
3200,	   42000,	   41100,	   37900,	   67600,	   19600
3300,	   44200,	   48200,	   37600,	   70400,	   20200
3400,	   45800,	   46000,	   39900,	   70300,	   20800
3500,	   45900,	   42900,	   40000,	   72700,	   21200
3600,	   47100,	   47600,	   42000,	   74700,	   21900
3700,	   48400,	   48900,	   43500,	   76800,	   22500
3800,	   51300,	   45600,	   43300,	   79000,	   23300
3900,	   51200,	   48900,	   44600,	   80900,	   23800
4000,	   52800,	   50000,	   45600,	   82900,	   24200
4100,	   55100,	   50700,	   48600,	   85100,	   24400
4200,	   54900,	   47800,	   47700,	   86800,	   26800
4300,	   57700,	   54400,	   49200,	   88900,	   25800
4400,	   57600,	   56800,	   50200,	   93000,	   26200
4500,	   58800,	   63300,	   51200,	   93600,	   26800
4600,	   60400,	   51000,	   54500,	   95000,	   27900
4700,	   61700,	   52500,	   53600,	   98400,	   28600
4800,	   63800,	   55400,	   54600,	   99100,	   28800
4900,	   64200,	   56000,	   55900,	   101600,	   28900
5000,	   65300,	   53500,	   57100,	   103400,	   30000
5100,	   67200,	   127500,	   124700,	   151300,	   56900
5200,	   89500,	   112700,	   99900,	   171500,	   46700
5300,	   114100,	   87300,	   97100,	   153600,	   47400
5400,	   124500,	   117300,	   88800,	   175800,	   55100
5500,	   116800,	   126900,	   82100,	   150100,	   50200
5600,	   120600,	   107900,	   111300,	   178300,	   48400
5700,	   108600,	   116300,	   90200,	   158400,	   34600
5800,	   76500,	   59600,	   66300,	   173000,	   38400
5900,	   78600,	   68100,	   67400,	   121900,	   35700
6000,	   78600,	   63100,	   68500,	   123900,	   36100
6100,	   81400,	   66300,	   69700,	   147900,	   39100
6200,	   87900,	   67300,	   78100,	   140600,	   64400
6300,	   89100,	   68600,	   79000,	   142200,	   41300
6400,	   90500,	   83700,	   75000,	   136100,	   40500
6500,	   88500,	   69800,	   76100,	   140500,	   39800
6600,	   90100,	   71500,	   91000,	   126400,	   36500
6700,	   81600,	   66900,	   72000,	   150400,	   51500
6800,	   122200,	   81500,	   72000,	   163500,	   41700
6900,	   91700,	   68000,	   78600,	   152900,	   38200
7000,	   178800,	   97900,	   93700,	   132800,	   60300
7100,	   137500,	   86600,	   82500,	   162300,	   40600
7200,	   87900,	   68900,	   76200,	   138800,	   39400
7300,	   88700,	   64600,	   98700,	   156200,	   40000
7400,	   91200,	   81400,	   84400,	   155200,	   44400
7500,	   98400,	   74300,	   86700,	   156700,	   44400
7600,	   99500,	   73200,	   86400,	   157000,	   45400
7700,	   100700,	   77100,	   89300,	   160700,	   46400
7800,	   102400,	   78600,	   89900,	   161700,	   49200
7900,	   103000,	   73700,	   89900,	   165400,	   46800
8000,	   104300,	   78000,	   106600,	   169800,	   48400
8100,	   106100,	   82200,	   93600,	   169200,	   49300
8200,	   108700,	   79300,	   93600,	   170500,	   48800
8300,	   113300,	   82000,	   94400,	   173400,	   48900
8400,	   112400,	   94400,	   146300,	   264900,	   50600
8500,	   111900,	   79100,	   97100,	   177200,	   51600
8600,	   114100,	   82600,	   98200,	   178100,	   51700
8700,	   116300,	   112100,	   119000,	   195500,	   52400
8800,	   115500,	   81400,	   101500,	   189000,	   67800
8900,	   158100,	   87400,	   108800,	   207800,	   53300
9000,	   199400,	   86300,	   118900,	   273500,	   62800
9100,	   119100,	   82600,	   173900,	   190200,	   54900
9200,	   122000,	   88400,	   139200,	   298200,	   101800
9300,	   229200,	   101300,	   116500,	   217200,	   56200
9400,	   123100,	   88300,	   107200,	   198600,	   55500
9500,	   138400,	   88000,	   108200,	   196500,	   57200
9600,	   125800,	   85600,	   109400,	   199800,	   57400
9700,	   127200,	   93200,	   110400,	   201000,	   58000
9800,	   128000,	   87600,	   112900,	   203200,	   58000
9900,	   129700,	   107900,	   112800,	   205600,	   58000
10000,	   132100,	   94900,	   113900,	   249900,	   59900
10100,	   131600,	   93300,	   114900,	   210800,	   60700
10200,	   133000,	   89600,	   116000,	   211300,	   60200
10300,	   136000,	   103500,	   117300,	   217200,	   61700
10400,	   135500,	   95500,	   118200,	   217200,	   62000
10500,	   137300,	   93000,	   119500,	   217900,	   62900
10600,	   137500,	   94600,	   121000,	   251700,	   62500
10700,	   140000,	   104400,	   121800,	   237000,	   59600
10800,	   130700,	   91400,	   114000,	   210600,	   59900
10900,	   132200,	   89600,	   191300,	   521100,	   149600
11000,	   151000,	   95300,	   171000,	   261900,	   60200
11100,	   135000,	   89000,	   117600,	   214800,	   60800
11200,	   135900,	   96600,	   118300,	   215700,	   61400
11300,	   206700,	   131400,	   119400,	   217600,	   61400
11400,	   138400,	   97200,	   121700,	   218800,	   62500
11500,	   139700,	   93600,	   120800,	   221400,	   63400
11600,	   141900,	   95100,	   122800,	   224000,	   68600
11700,	   141900,	   93800,	   124800,	   225400,	   64200
11800,	   143500,	   100100,	   124900,	   229300,	   65000
11900,	   145600,	   97500,	   126000,	   228200,	   66100
12000,	   145600,	   94600,	   127800,	   231300,	   66300
12100,	   146700,	   98700,	   127800,	   232200,	   68100
12200,	   148000,	   99500,	   129200,	   235100,	   66900
12300,	   149400,	   102900,	   131000,	   258600,	   82400
12400,	   150900,	   117600,	   205400,	   353800,	   68700
12500,	   217900,	   117200,	   132000,	   348000,	   105600
12600,	   204800,	   102200,	   133300,	   242500,	   70500
12700,	   154500,	   104000,	   134200,	   243500,	   70500
12800,	   155300,	   103400,	   135200,	   246300,	   70300
12900,	   156800,	   101700,	   136300,	   249800,	   71500
13000,	   157900,	   112700,	   137500,	   249100,	   73500
13100,	   224700,	   135700,	   161900,	   251900,	   73500
13200,	   162000,	   108200,	   139600,	   254000,	   73000
13300,	   161300,	   104600,	   141700,	   257300,	   73600
13400,	   162600,	   112700,	   142800,	   260500,	   74400
13500,	   163900,	   107800,	   142800,	   259800,	   74000
13600,	   238100,	   108200,	   143900,	   260800,	   74200
13700,	   166300,	   195700,	   161300,	   263600,	   75800
13800,	   168100,	   110900,	   147100,	   265600,	   76300
13900,	   168600,	   110200,	   147200,	   268500,	   76200
14000,	   170000,	   118900,	   148000,	   269900,	   79000
14100,	   170800,	   108000,	   148700,	   270100,	   78500
14200,	   173400,	   116900,	   149900,	   274200,	   78500
14300,	   173500,	   113000,	   152100,	   275100,	   79600
14400,	   175200,	   112600,	   152200,	   322900,	   80000
14500,	   176300,	   114200,	   222500,	   297500,	   80900
14600,	   177100,	   111500,	   154300,	   280700,	   114800
14700,	   201000,	   144700,	   171900,	   283700,	   83500
14800,	   249100,	   119400,	   156100,	   284600,	   81700
14900,	   294100,	   125600,	   189400,	   307600,	   83000
15000,	   198600,	   117300,	   158900,	   289700,	   83200
15100,	   220700,	   135200,	   215300,	   330300,	   84600
15200,	   211400,	   125700,	   176500,	   351900,	   121500
15300,	   218800,	   137900,	   203500,	   312000,	   84800
15400,	   222700,	   117500,	   163100,	   298700,	   85800
15500,	   188600,	   141800,	   181300,	   390800,	   99800
15600,	   187800,	   144800,	   177600,	   323200,	   92400
15700,	   205700,	   149300,	   241500,	   493800,	   200800
15800,	   412400,	   358300,	   438900,	   570800,	   100000
15900,	   210100,	   131600,	   188200,	   401700,	   144200
16000,	   328800,	   227100,	   208100,	   372000,	   106600
16100,	   195500,	   122700,	   170000,	   367200,	   140700
16200,	   232800,	   154100,	   184500,	   419700,	   156500
16300,	   331000,	   170000,	   188800,	   357200,	   102800
16400,	   229400,	   141200,	   198400,	   361800,	   97700
16500,	   215700,	   146200,	   190800,	   353000,	   98400
16600,	   217300,	   141400,	   224800,	   367600,	   101900
16700,	   229000,	   142500,	   194700,	   449700,	   105200
16800,	   233400,	   144300,	   208300,	   322800,	   92800
16900,	   235300,	   127300,	   178600,	   357000,	   103800
17000,	   248100,	   165900,	   193200,	   367700,	   101300
17100,	   318700,	   149400,	   180800,	   405700,	   101500
17200,	   255100,	   146100,	   195700,	   391000,	   132500
17300,	   259900,	   144300,	   211100,	   357500,	   119700
17400,	   230000,	   140700,	   198000,	   361500,	   102700
17500,	   230600,	   140800,	   199200,	   438500,	   105300
17600,	   230400,	   142700,	   336400,	   582300,	   203300
17700,	   461100,	   248900,	   227500,	   367800,	   106000
17800,	   233100,	   143200,	   203800,	   370500,	   106900
17900,	   235300,	   147100,	   205100,	   372100,	   107300
18000,	   235700,	   146900,	   204300,	   374100,	   108100
18100,	   236700,	   146700,	   206200,	   375700,	   108600
18200,	   239800,	   147000,	   207400,	   376600,	   108700
18300,	   241100,	   146400,	   207700,	   379100,	   109700
18400,	   256200,	   149200,	   217700,	   381900,	   123800
